URL,URLType
http://hotlinegsm.com/products/mobile-and-tablet/sony-ericsson-xperia-neo-v-detail,1
http://emgn.com/tv/watch-he-wanted-a-job-at-snapchat-so-he-sent-them-his-my-story-instead-of-a-resume/,0
http://distractify.com/post/related/id/55477f774a0c4b436e941a79/skip/20/limit/10/back/0,0
http://olx.in/hi/m/item/laptop-80-gb-ide-hard-disk-are-available-IDUV945.html?code=bd4a7dc7d3,0
http://kenh14.vn/musik/hai-con-gai-cam-ly-lan-dau-hat-cung-me-trong-liveshow-2015041912112865.chn,0
http://moviepilot.com/posts/2015/05/13/this-vampire-diaries-finale-promo-suggests-we-should-prepare-for-elena-s-death-2930083,0
http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131014/226.html,1
http://www.pubyun.com/wiki/lib/exe/css.php?t=dokuwiki&tseed=f1f16e8c6142fab8553f2b9cfe045961,1
http://www.0068555.com/app/member/SportOption.php?uid=guest&langx=gb,1
http://www.jin0044.com/cl/?module=System&method=MAdvertis&other=JoinMember,1
http://distractify.com/post/related/id/5548d3704a0c4b4d5b89ea58/skip/20/limit/10/back/0,0
http://mic.com/articles/117520/the-one-myth-about-the-free-market-we-need-to-stop-telling-immediately,0
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,1
http://gizmodo.com/5615703/wikileaks-may-get-immunity-thanks-to-swedish-pirate-party,0
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,0
http://maybank2u.com.my/mbb_info/m2u/public/personalDetail04.do?channelId=BBSME-Cards&cntTypeId=0&cntKey=BBSME-Cards_MASAMEX&programId=BBSME-Cards_MASAMEX&chCatId=/mbb/BBSME/BBSME-Cards,0
http://metro.co.uk/2014/08/09/big-brother-2014-helen-wood-deserves-to-win-and-heres-14-reasons-why-4826985/,0
http://yourlust.com/videos/young-neighbor-beauty-gives-blowjob-to-kinky-garden-boy.html,0
http://www.114633.com/cl/?module=System&method=LiveTop&args=livehall,1
http://kienthuc.net.vn/de-thi-dap-an/de-thi-thu-thpt-quoc-gia-2015-mon-anh-truong-thpt-bim-son-483982.html,0
http://censor.net.ua/jokes/all/page/1/hero/0/category/386/interval/5/author/0/sortby/date,0
http://mic.com/articles/103208/this-map-shows-the-all-states-where-you-can-still-be-fired-for-being-gay-in-2014,0
http://3cf.ru/2015/07/21/hokkei-vladislav-tretiak-vydvinem-rotenberga-na-post-predsedatelia-pravleniia-fhr/,1
http://9779.info/%E5%85%AD%E4%B8%80%E5%BF%AB%E4%B9%90%E7%B2%98%E8%B4%B4%E7%94%BB/,1
http://panthawas.com/jquery-ui-1.10.3.custom/css/ui-lightness/jquery-ui-1.10.3.custom.min.css,1
http://udn.com/news/story/7238/901282-%E9%87%91%E7%AE%A1%E6%9C%83%E5%87%BA%E6%8B%9B-%E6%94%B9%E9%9D%A9%E4%B8%8D%E5%81%9C%E6%AD%87,0
http://techcrunch.com/2014/02/04/mobile-deep-linking-service-deeplink-me-debuts-a-native-ad-sdk/,0
http://babal.net/games/view/14/%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D9%84%D9%8A%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%D9%88%D9%86-%D9%84%D8%A7%D9%8A%D9%86-2011,0
http://searchengineland.com/yelp-ups-its-search-game-with-yelp-now-adds-dinner-reservation-food-ordering-search-filters-219043,0
http://minidvdsoft.com/cdtomp3/how_to_use_free_cdtomp3_converter.html,1
http://tobogo.net/cdsb/board.php?board=knowhow&bm=view&no=971&category=&auth=&page=1&search=&keyword=&recom=,0
